Id,Description,CanBeModifier,RBR_Pacenote_Id,RBR_Modifier_Id,RBR_Type
detail_post,杆子,1,-1,-1,obstacles
detail_post_inside,内侧杆子,1,-1,-1,obstacles
detail_post_outside,外侧杆子,1,-1,-1,obstacles
detail_rails,栏杆,1,-1,-1,obstacles
detail_right_entry_chicane,右进弯/路障靠右,1,393,-1,
detail_rocks,岩石,1,-1,-1,
detail_rocks_inside,内侧岩石,1,40007,-1,
detail_rocks_outside,外侧岩石,1,40010,-1,
detail_rough,路面粗糙,1,-1,-1,
detail_short,短,1,264|275|265,-1,
detail_sign,路标,1,-1,-1,obstacles
detail_slippery,路面湿滑,1,268|277,-1,
detail_slow,减速,1,242|244,-1,
detail_small_crest,小坡,1,2109,-1,
detail_small_cut,小切弯,1,218,-1,
detail_small_jump,小跳坡,1,-1,-1,
detail_snow,积雪路面,1,325|545,-1,
detail_stake,树桩,1,-1,-1,obstacles
detail_stake_inside,内侧树桩,1,-1,-1,obstacles
detail_stake_outside,外侧树桩,1,-1,-1,obstacles
detail_sudden,马上,0,-1,-1,
detail_tarmac,柏油路,1,321|541,-1,
detail_then,然后,0,413,-1,
detail_through,通过,0,400,-1,links
detail_through_dip,通过低洼,1,-1,-1,
detail_through_gate,通过大门,1,40001,-1,
detail_through_grid,通过网格板,1,-1,-1,
detail_through_houses,通过房区,1,-1,-1,
detail_through_logs,通过原木,1,-1,-1,
detail_through_narrow_gate,通过窄门,1,-1,-1,
detail_through_narrow_grid,通过窄网格板,1,-1,-1,
detail_through_posts,通过杆子,1,-1,-1,
detail_through_tunnel,通过隧道,1,-1,-1,
detail_tightens,变急,1,251|2018|2015|2019,4,
detail_tightens_bad,变很急,1,-1,128,
detail_tightens_to_squre,变急到直角弯,1,-1,-1,
detail_tightens_to_1,变急到1,1,2006,-1,
detail_tightens_to_2,变急到2,1,2005,-1,
detail_tightens_to_3,变急到3,1,2004,-1,
detail_tightens_to_4,变急到4,1,2003,-1,
detail_tightens_to_5,变急到5,1,2002,-1,
detail_tightens_to_acute,急回头弯,1,2007,-1,
detail_twisty,蛇形弯,1,-1,-1,
detail_tree,树木,1,-1,-1,
detail_tree_inside,内侧树木,1,40008,-1,
detail_tree_outside,外侧树木,1,40011,-1,
detail_ice,结冰路面,1,329|327,-1,
detail_tunnel,隧道,1,381,-1,
detail_turn,转,0,353,-1,
detail_unseen,视野外的,1,301|302,-1,
detail_uphill,上坡,1,260,-1,
detail_wall,墙,1,-1,-1,
detail_wall_inside,内侧墙,1,-1,-1,
