Id,Description,CanBeModifier,RBR_Pacenote_Id,RBR_Modifier_Id,RBR_Type
number_160,160米,1,162,,
number_170,170米,1,-1,,
number_180,180米,1,163,,
number_190,190米,1,-1,,
number_200,200米,1,164,,
number_210,210米,1,-1,,
number_220,220米,1,-1,,
number_230,230米,1,-1,,
number_240,240米,1,-1,,
number_250,250米,1,165,,
number_260,260米,1,-1,,
number_270,270米,1,-1,,
number_280,280米,1,-1,,
number_290,290米,1,-1,,
number_300,300米,1,166,,
number_350,350米,1,167,,
number_400,400米,1,168,,
number_450,450米,1,169,,
