Description,Id
切弯,detail_cut
不要切弯,detail_dont_cut
变急,detail_tightens
长,detail_long
很长,detail_longlong
可能,detail_maybe
变宽,detail_opens
30米,number_30
40米,number_40
50米,number_50
60米,number_60
70米,number_70
80米,number_80
100米,number_100
120米,number_120
140米,number_140
150米,number_150
160米,number_160
180米,number_180
200米,number_200
250米,number_250
300米,number_300
350米,number_350
400米,number_400
450米,number_450
